file,over the period,total
crawltrack2-3-0.zip,0,"25,906"
crawltrack3-3-2.zip,"2,613","11,511"
crawlprotect2-0-0.zip,5,"7,757"
crawlprotect3-2-2.zip,"3,481","6,211"
crawltrack3-3-0.zip,31,"3,993"
htaccess.zip,176,"3,982"
crawltrack3-1-1.zip,0,"2,732"
crawltrack3-2-7.zip,0,"2,691"
crawltrack3-2-1.zip,1,"2,681"
crawltrack3-1-2.zip,0,"2,664"
crawlprotect3-0-0.zip,6,"2,623"
phpmvcrawlt.zip,0,"2,069"
crawltrack3-2-4.zip,0,"2,010"
crawlerlist.zip,34,"1,900"
crawltrack3-2-9.zip,0,"1,680"
crawltrack3-0-0.zip,1,"1,560"
crawltrack3-2-6.zip,0,"1,506"
crawltrack3-2-2.zip,0,"1,173"
crawlprotect1-8-0.zip,0,"1,120"
crawltrack3-2-0.zip,0,923
simsun.zip,94,820
attacklist.zip,26,787
crawltrack3-2-8.zip,1,753
crawltrack3-1-0.zip,0,719
crawlprotect3-0-1.zip,1,718
crawltrack3-3-1.zip,0,631
crawlprotect3-1-1.zip,0,611
crawltrack3-2-3.zip,0,572
crawlprotect3-2-1.zip,0,523
